date_evenement;categorie_evenement;type_evenement;pole;service;lieu;fonction_declarant;gravite_cloture
2/3/2009;B - Organisation des soins - Relations avec le patient;déprogrammation d'acte(s);P;Activité pédiatrique ambulatoire;Salle d'opération/salle de réveil;Infirmier-infirmier spécialisé-puéricultrice;Modérée
7/3/2009;A - Activités médicales et de soins;complication médicale ou chirurgicale inattendue;R;Anesthésie-Réanimation;Chambre;Médecin;Catastrophique
10/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;M;ORL;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Majeure
11/3/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;P;Activité pédiatrique ambulatoire;Poste de soins;Cadre de santé-cadre administratif;Modérée
11/3/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Archives;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Modérée
11/3/2009;A - Activités médicales et de soins;complication médicale ou chirurgicale inattendue;Q;Cardiologie Pédiatrique;Consultations - radio - salle d'examens;Cadre de santé-cadre administratif;Modérée
11/3/2009;C - Vie hospitalière;panne ou perte de matériel;B;Biochimie B;Laboratoires - pharmacie;Ingénieur-responsable des services techniques;Modérée
11/3/2009;B - Organisation des soins - Relations avec le patient;transport de patient;Q;Maternité site Brune;Autre lieu de soins;Sage femme;Majeure
11/3/2009;A - Activités médicales et de soins;dossier médical et de soins;A;Hématologie clinique adultes;Consultations - radio - salle d'examens;Médecin;Majeure
10/3/2009;A - Activités médicales et de soins;complication liée aux soins;A;Hématologie clinique adultes;Chambre;Cadre de santé-cadre administratif;Modérée
11/3/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);P;Unité d'Immunologie et d'Hématologie pédiatriques;Consultations - radio - salle d'examens;Infirmier-infirmier spécialisé-puéricultrice;Majeure
28/2/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Autre lieu de soins;Infirmier-infirmier spécialisé-puéricultrice;Majeure
12/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Chambre;Cadre de santé-cadre administratif;Modérée
12/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Chambre;Cadre de santé-cadre administratif;Modérée
10/3/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Direction de la qualité / GDR;Autre lieu professionnel;Personnel administratif;Modérée
12/3/2009;A - Activités médicales et de soins;complication liée aux soins;R;Réanimation Pédiatrique;;Médecin;Modérée
13/3/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Direction de la qualité / GDR;Bureaux - locaux administratifs - archives;Ingénieur-responsable des services techniques;Mineure
13/3/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;Q;Maternité site Brune;Autre lieu de soins;Sage femme;Majeure
13/3/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;P;Activité pédiatrique ambulatoire;Tout le service;Cadre de santé-cadre administratif;Modérée
13/3/2009;A - Activités médicales et de soins;dossier médical et de soins;M;Neuro-chirurgie;Consultations - radio - salle d'examens;Infirmier-infirmier spécialisé-puéricultrice;Majeure
13/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;M;Chirurgie orthopédique pédiatrique;Autre lieu de soins;Infirmier-infirmier spécialisé-puéricultrice;Majeure
15/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pneumologie - Allergologie pédiatrique;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Majeure
14/3/2009;C - Vie hospitalière;panne ou perte de matériel;R;Anesthésie-Réanimation;Ascenseur;Médecin;Majeure
15/3/2009;D - Vigilances;matériovigilance;P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
17/3/2009;C - Vie hospitalière;autre (à préciser);Z;Sécurité générale, accueil, standard;Autre lieu professionnel;Personnel administratif;Modérée
17/3/2009;B - Organisation des soins - Relations avec le patient;transport de patient;Z;Brancardage;Autre lieu de soins;Aide-soignant-ASH;Modérée
5/3/2009;C - Vie hospitalière;autre (à préciser);R;Anesthésie-Réanimation;Bureaux - locaux administratifs - archives;Médecin;Majeure
16/3/2009;C - Vie hospitalière;panne ou perte de matériel;Q;Maternité site Necker;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Mineure
17/3/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);M;Bloc CCI;Autre lieu commun;Infirmier-infirmier spécialisé-puéricultrice;Majeure
13/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Activité pédiatrique ambulatoire;Poste de soins;Infirmier-infirmier spécialisé-puéricultrice;Modérée
17/3/2009;C - Vie hospitalière;salubrité-propreté des locaux;A;Transplantation & Réanimation adultes;Chambre;Cadre de santé-cadre administratif;Modérée
17/3/2009;A - Activités médicales et de soins;autre (à préciser);R;Anesthésie-Réanimation;Tout le service;Médecin;Majeure
17/3/2009;D - Vigilances;biovigilance;A;Hématologie clinique adultes;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
18/3/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);M;Bloc CCI;Autre lieu professionnel;Infirmier-infirmier spécialisé-puéricultrice;Catastrophique
3/3/2009;C - Vie hospitalière;autre (à préciser);Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Modérée
8/3/2009;C - Vie hospitalière;panne ou perte de matériel;B;laboratoire d'hématologie;Tout l'hôpital;Aide-soignant-ASH;Majeure
8/3/2009;C - Vie hospitalière;panne ou perte de matériel;B;laboratoire d'hématologie;Consultations - radio - salle d'examens;Aide-soignant-ASH;Majeure
8/3/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);A;Hématologie clinique adultes;Tout le service;Infirmier-infirmier spécialisé-puéricultrice;Majeure
9/3/2009;C - Vie hospitalière;salubrité-propreté des locaux;B;laboratoire d'hématologie;Locaux poubelles/déchets;Cadre de santé-cadre administratif;Majeure
8/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Direction de la qualité / GDR;Autre lieu professionnel;Ingénieur-responsable des services techniques;Majeure
9/3/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Archives;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Modérée
7/3/2009;D - Vigilances;Pharmacovigilance;A;Hématologie clinique adultes;Chambre;Médecin;Modérée
6/3/2009;A - Activités médicales et de soins;complication liée aux soins;M;Gastroentérologie & nutrition pédiatriques;Chambre;Cadre de santé-cadre administratif;Majeure
9/3/2009;C - Vie hospitalière;restauration;P;Pneumologie - Allergologie pédiatrique;Tout le service;Aide-soignant-ASH;Majeure
2/3/2009;B - Organisation des soins - Relations avec le patient;perte ou bris de prothèse;A;Transplantation & Réanimation adultes;Chambre;Cadre de santé-cadre administratif;Mineure
9/3/2009;D - Vigilances;matériovigilance;Q;Chirurgie cardiaque pédiatrique;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Catastrophique
6/3/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Chirurgie viscérale;Chambre;Cadre de santé-cadre administratif;Modérée
27/4/2009;A - Activités médicales et de soins;autre (à préciser);M;Gastroentérologie & nutrition pédiatriques;Consultations - radio - salle d'examens;Infirmier-infirmier spécialisé-puéricultrice;Modérée
28/4/2009;A - Activités médicales et de soins;complication liée aux soins;Z;Direction des soins;Autre lieu de soins;Cadre de santé-cadre administratif;Modérée
27/4/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;R;SAMU SMUR;Office alimentaire;Cadre de santé-cadre administratif;Majeure
28/4/2009;D - Vigilances;matériovigilance;M;Chirurgie viscérale;Chambre;Cadre de santé-cadre administratif;Mineure
28/4/2009;D - Vigilances;matériovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Majeure
28/4/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;M;Chirurgie viscérale;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Majeure
28/4/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;M;Chirurgie viscérale;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Majeure
29/4/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Urologie;Chambre;Médecin;Mineure
27/4/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Modérée
29/4/2009;D - Vigilances;matériovigilance;P;Neurologie- métabolisme-endocrinologie-diabétologie pédiatrique;Tout le service;Médecin;Modérée
29/4/2009;C - Vie hospitalière;salubrité-propreté des locaux;Q;Maternité site Necker;Bureaux - locaux administratifs - archives;Infirmier-infirmier spécialisé-puéricultrice;Mineure
30/4/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Direction de la qualité / GDR;Autre lieu professionnel;Cadre de santé-cadre administratif;Modérée
17/4/2009;A - Activités médicales et de soins;complication médicale ou chirurgicale inattendue;Q;Maternité site Necker;Autre lieu de soins;Cadre de santé-cadre administratif;Modérée
28/4/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Direction des ressources humaines;Bureaux - locaux administratifs - archives;Personnel administratif;Modérée
30/4/2009;C - Vie hospitalière;panne ou perte de matériel;I;Radiologie pédiatrie;Consultations - radio - salle d'examens;Cadre de santé-cadre administratif;Majeure
30/4/2009;B - Organisation des soins - Relations avec le patient;transport de patient;A;Hématologie clinique adultes;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
30/4/2009;D - Vigilances;matériovigilance;R;Réanimation Pédiatrique;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
1/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Neurologie- métabolisme-endocrinologie-diabétologie pédiatrique;Salle à manger-salle TV - salle de jeux...;Infirmier-infirmier spécialisé-puéricultrice;Modérée
2/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
3/5/2009;D - Vigilances;matériovigilance;M;ORL;Salle d'opération/salle de réveil;Médecin;Majeure
3/5/2009;D - Vigilances;matériovigilance;P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Insignifiante
3/5/2009;A - Activités médicales et de soins;autre (à préciser);Q;Maternité site Necker;Chambre;Cadre de santé-cadre administratif;Majeure
10/4/2009;B - Organisation des soins - Relations avec le patient;risques professionnels;A;Infectiologie;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
3/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Direction des finances et de la recherche;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Mineure
3/4/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);A;Hématologie clinique adultes;Chambre;Cadre de santé-cadre administratif;Mineure
4/5/2009;A - Activités médicales et de soins;autre (à préciser);A;Biothérapie;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Majeure
4/5/2009;B - Organisation des soins - Relations avec le patient;transport de patient;M;Gastroentérologie & nutrition pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
4/5/2009;B - Organisation des soins - Relations avec le patient;transport de patient;M;Gastroentérologie & nutrition pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Majeure
4/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Sécurité incendie;Autre lieu professionnel;Ouvrier-agent technique;Catastrophique
4/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Sécurité incendie;Office alimentaire;Ouvrier-agent technique;Majeure
5/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);A;Hématologie clinique adultes;Tout le service;Infirmier-infirmier spécialisé-puéricultrice;Majeure
2/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Q;Maternité site Necker;Autre lieu de soins;Cadre de santé-cadre administratif;Modérée
6/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Neurologie- métabolisme-endocrinologie-diabétologie pédiatrique;Chambre;Cadre de santé-cadre administratif;Mineure
6/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;P;Hôpital de jour multidisciplinaire;Tout le service;Infirmier-infirmier spécialisé-puéricultrice;Modérée
11/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);B;Chambre mortuaire;Autre lieu de soins;Infirmier-infirmier spécialisé-puéricultrice;Modérée
11/5/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Modérée
28/4/2009;C - Vie hospitalière;transport logistique;Z;Direction de la qualité / GDR;Locaux poubelles/déchets;Cadre de santé-cadre administratif;Modérée
11/5/2009;C - Vie hospitalière;restauration;Z;Direction de la logistique et des achats;Autre lieu commun;Ouvrier-agent technique;Majeure
11/5/2009;A - Activités médicales et de soins;autre (à préciser);A;Bloc opératoire du pôle;Salle d'opération/salle de réveil;Médecin;Mineure
7/5/2009;A - Activités médicales et de soins;dossier médical et de soins;A;consultations multidisciplinaires;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Majeure
11/5/2009;C - Vie hospitalière;autre (à préciser);Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Modérée
7/5/2009;A - Activités médicales et de soins;dossier médical et de soins;Z;Archives;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Mineure
11/5/2009;B - Organisation des soins - Relations avec le patient;risques professionnels;M;Néphrologie pédiatrique;Circulation : couloir - escalier - galerie - passerelle...;Cadre de santé-cadre administratif;Modérée
11/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Chirurgie orthopédique pédiatrique;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
13/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;A;Néphrologie adulte;Vestiaire;Cadre de santé-cadre administratif;Majeure
6/5/2009;D - Vigilances;Réactovigilance;B;Laboratoire d'immunologie;Laboratoires - pharmacie;Médecin;Majeure
13/5/2009;A - Activités médicales et de soins;complication liée aux soins;M;Gastroentérologie & nutrition pédiatriques;Autre lieu de soins;Cadre de santé-cadre administratif;Majeure
12/5/2009;D - Vigilances;matériovigilance;R;SAMU SMUR;Autre lieu commun;Cadre de santé-cadre administratif;Modérée
13/5/2009;B - Organisation des soins - Relations avec le patient;difficulté hospitalisation ou transfert;R;Anesthésie-Réanimation;Salle d'opération/salle de réveil;Médecin;Modérée
13/5/2009;A - Activités médicales et de soins;autre (à préciser);M;Bloc CCI;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Modérée
13/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);R;Anesthésie-Réanimation;Salle d'opération/salle de réveil;Infirmier-infirmier spécialisé-puéricultrice;Majeure
14/5/2009;A - Activités médicales et de soins;complication liée aux soins;R;Anesthésie-Réanimation;Salle d'opération/salle de réveil;Médecin;Majeure
14/5/2009;C - Vie hospitalière;panne ou perte de matériel;A;Hématologie clinique adultes;Autre lieu professionnel;Secrétaire-agent administratif;Modérée
14/5/2009;A - Activités médicales et de soins;autre (à préciser);Q;Cardiologie Pédiatrique;Chambre;Cadre de santé-cadre administratif;Majeure
14/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Majeure
28/4/2009;C - Vie hospitalière;panne ou perte de matériel;A;Urologie;Tout le service;Cadre de santé-cadre administratif;Modérée
10/5/2009;A - Activités médicales et de soins;autre (à préciser);A;Urologie;Chambre;Cadre de santé-cadre administratif;Majeure
14/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);A;Urologie;Autre lieu professionnel;Cadre de santé-cadre administratif;Modérée
7/5/2009;C - Vie hospitalière;autre (à préciser);Z;Services techniques;Circulation : couloir - escalier - galerie - passerelle...;Ingénieur-responsable des services techniques;Modérée
15/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Sécurité incendie;Circulation : couloir - escalier - galerie - passerelle...;Ouvrier-agent technique;Catastrophique
15/5/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;P;Hôpital de jour multidisciplinaire;Laboratoires - pharmacie;Infirmier-infirmier spécialisé-puéricultrice;Modérée
15/5/2009;A - Activités médicales et de soins;complication liée aux soins;P;Neurologie- métabolisme-endocrinologie-diabétologie pédiatrique;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Majeure
14/5/2009;C - Vie hospitalière;restauration;Z;Direction de la logistique et des achats;Autre lieu professionnel;Ouvrier-agent technique;Majeure
15/5/2009;A - Activités médicales et de soins;dossier médical et de soins;Z;Archives;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Mineure
14/5/2009;B - Organisation des soins - Relations avec le patient;autre (à préciser);M;Neuro-chirurgie;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Modérée
15/5/2009;C - Vie hospitalière;restauration;P;Pneumologie - Allergologie pédiatrique;Office alimentaire;Aide-soignant-ASH;Modérée
14/5/2009;A - Activités médicales et de soins;complication liée aux soins;P;Hôpital de jour multidisciplinaire;Poste de soins;Infirmier-infirmier spécialisé-puéricultrice;Majeure
15/5/2009;D - Vigilances;Infectiovigilance;P;Activité pédiatrique ambulatoire;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Catastrophique
11/5/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;Q;Chirurgie cardiaque pédiatrique;Chambre;Cadre de santé-cadre administratif;Majeure
24/4/2009;D - Vigilances;Hémovigilance;A;Urologie;Chambre;Cadre de santé-cadre administratif;Majeure
17/5/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;M;ORL;Consultations - radio - salle d'examens;Infirmier-infirmier spécialisé-puéricultrice;Majeure
17/5/2009;B - Organisation des soins - Relations avec le patient;difficulté hospitalisation ou transfert;R;Anesthésie-Réanimation;Salle d'attente-hall - caisse - accueil;Cadre de santé-cadre administratif;Majeure
17/3/2009;B - Organisation des soins - Relations avec le patient;déprogrammation d'acte(s);P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Cadre de santé-cadre administratif;Majeure
18/3/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;A;Hématologie clinique adultes;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Majeure
14/3/2009;A - Activités médicales et de soins;autre (à préciser);M;Bloc CCI;Salle d'opération/salle de réveil;Cadre de santé-cadre administratif;Majeure
18/3/2009;B - Organisation des soins - Relations avec le patient;déprogrammation d'acte(s);P;Activité pédiatrique ambulatoire;Poste de soins;Cadre de santé-cadre administratif;Majeure
18/3/2009;A - Activités médicales et de soins;dossier médical et de soins;A;Hématologie clinique adultes;Consultations - radio - salle d'examens;Médecin;Majeure
19/3/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;Z;Direction des soins;Circulation : couloir - escalier - galerie - passerelle...;Cadre de santé-cadre administratif;Modérée
28/2/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pneumologie - Allergologie pédiatrique;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
19/3/2009;C - Vie hospitalière;restauration;P;Pneumologie - Allergologie pédiatrique;Tout le service;Aide-soignant-ASH;Modérée
18/3/2009;C - Vie hospitalière;panne ou perte de matériel;P;Hôpital de jour multidisciplinaire;Salle d'attente-hall - caisse - accueil;Infirmier-infirmier spécialisé-puéricultrice;Modérée
3/3/2009;D - Vigilances;matériovigilance;P;Pneumologie - Allergologie pédiatrique;Chambre;Cadre de santé-cadre administratif;Modérée
19/3/2009;B - Organisation des soins - Relations avec le patient;déprogrammation d'acte(s);M;Neuro-chirurgie;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Modérée
20/3/2009;B - Organisation des soins - Relations avec le patient;transport de patient;Z;Brancardage;Salle d'opération/salle de réveil;Aide-soignant-ASH;Modérée
20/3/2009;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Transplantation & Réanimation adultes;Toilettes/douche destinés aux patients;Infirmier-infirmier spécialisé-puéricultrice;Mineure
20/3/2009;A - Activités médicales et de soins;complication liée aux soins;M;Chirurgie viscérale;Consultations - radio - salle d'examens;Médecin;Modérée
20/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Hôpital de jour multidisciplinaire;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
22/3/2009;A - Activités médicales et de soins;complication liée aux soins;M;Gastroentérologie & nutrition pédiatriques;Chambre;Médecin;Mineure
23/3/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Mineure
20/2/2009;C - Vie hospitalière;magasin;P;Unité d'Immunologie et d'Hématologie pédiatriques;Magasin - lingerie;Technicien-manipulateur-préparateur;Modérée
18/3/2009;C - Vie hospitalière;panne ou perte de matériel;M;Chirurgie orthopédique pédiatrique;Circulation : couloir - escalier - galerie - passerelle...;Cadre de santé-cadre administratif;Modérée
21/3/2009;A - Activités médicales et de soins;complication liée aux soins;M;Chirurgie viscérale;Chambre;Cadre de santé-cadre administratif;Modérée
13/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Laboratoires - pharmacie;Cadre de santé-cadre administratif;Modérée
11/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Poste de soins;Cadre de santé-cadre administratif;Modérée
20/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;A;Ophtalmologie;Consultations - radio - salle d'examens;Cadre de santé-cadre administratif;Majeure
23/3/2009;A - Activités médicales et de soins;circuit médicaments - dispositifs médicaux stériles;P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Infirmier-infirmier spécialisé-puéricultrice;Mineure
23/3/2009;B - Organisation des soins - Relations avec le patient;erreur d'identification;Z;Direction des finances et de la recherche;Bureaux - locaux administratifs - archives;Cadre de santé-cadre administratif;Modérée
16/3/2009;C - Vie hospitalière;panne ou perte de matériel;Z;Sécurité incendie;Circulation : couloir - escalier - galerie - passerelle...;Personnel administratif;Modérée
23/3/2009;C - Vie hospitalière;salubrité-propreté des locaux;Q;Maternité site Necker;Consultations - radio - salle d'examens;Cadre de santé-cadre administratif;Catastrophique
24/3/2009;C - Vie hospitalière;Incidents liés aux chantiers;Z;Direction des ressources humaines;Tout le service;Infirmier-infirmier spécialisé-puéricultrice;Modérée
24/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Direction des ressources humaines;Autre lieu professionnel;Infirmier-infirmier spécialisé-puéricultrice;Mineure
24/3/2009;C - Vie hospitalière;autre (à préciser);P;Unité d'Immunologie et d'Hématologie pédiatriques;Chambre;Cadre de santé-cadre administratif;Modérée
24/3/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Modérée
24/3/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Mineure
24/3/2009;D - Vigilances;Infectiovigilance;A;consultations multidisciplinaires;Tout le service;Cadre de santé-cadre administratif;Majeure
24/3/2009;C - Vie hospitalière;panne ou perte de matériel;M;Neuro-chirurgie;Ascenseur;Aide-soignant-ASH;Insignifiante
23/3/2009;A - Activités médicales et de soins;complication liée aux soins;P;Pédiatrie Générale;Chambre;Diététicien-kiné-ergothérapeute-psychomotricien-autre rééducateur;Majeure
25/3/2009;B - Organisation des soins - Relations avec le patient;risques professionnels;B;Biochimie B;Circulation : couloir - escalier - galerie - passerelle...;Technicien-manipulateur-préparateur;Modérée
24/3/2009;D - Vigilances;biovigilance;A;Bloc opératoire du pôle;Salle d'opération/salle de réveil;Infirmier-infirmier spécialisé-puéricultrice;Majeure
26/3/2009;C - Vie hospitalière;salubrité-propreté des locaux;Z;Direction de la logistique et des achats;Locaux poubelles/déchets;Cadre de santé-cadre administratif;Catastrophique
25/3/2009;C - Vie hospitalière;vol ou agression ou dégradation ou sécurité incendie;Z;Sécurité générale, accueil, standard;;Cadre de santé-cadre administratif;Majeure
26/3/2009;C - Vie hospitalière;salubrité-propreté des locaux;Z;Direction de la logistique et des achats;Locaux poubelles/déchets;Ouvrier-agent technique;Modérée
25/3/2009;B - Organisation des soins - Relations avec le patient;transport de patient;M;ORL;Chambre;Cadre de santé-cadre administratif;Modérée
26/3/2009;C - Vie hospitalière;restauration;P;Pédiatrie Générale;Office alimentaire;Aide-soignant-ASH;Mineure
27/3/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Mineure
27/3/2009;D - Vigilances;biovigilance;A;Biothérapie;Laboratoires - pharmacie;Technicien-manipulateur-préparateur;Majeure
27/3/2009;D - Vigilances;matériovigilance;R;CUDR;Chambre;Cadre de santé-cadre administratif;Majeure
25/3/2009;A - Activités médicales et de soins;dossier médical et de soins;A;Hématologie clinique adultes;Consultations - radio - salle d'examens;Médecin;Majeure
