date_evenement;categorie_evenement;type_evenement;pole;service;lieu;fonction_declarant;gravite_cloture
16/1/2008;C - Vie hospitaliere;panne ou perte de materiel;P;Unite d Immunologie et d Hematologie pediatriques;Office alimentaire;Cadre de sante-cadre administratif;Moderee
11/1/2008;A - Activites medicales et de soins;autre A;M;Chirurgie viscerale;Poste de soins;Cadre de sante-cadre administratif;Moderee
16/1/2008;C - Vie hospitaliere;autre C;R;Anesthesie-Reanimation;Autre lieu de soins;Cadre de sante-cadre administratif;Majeure
16/1/2008;B - Organisation des soins - Relations avec le patient;risques professionnels;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Majeure
4/1/2008;D - Vigilances;pharmacovigilance;R;Reanimation Pediatrique;Chambre;Medecin;Majeure
17/1/2008;C - Vie hospitaliere;autre C;A;Infectiologie;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Moderee
18/1/2008;D - Vigilances;materiovigilance;P;Pediatrie generale;Chambre;Cadre de sante-cadre administratif;Moderee
18/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;P;Activite pediatrique ambulatoire;Autre lieu commun;Cadre de sante-cadre administratif;Mineure
18/1/2008;C - Vie hospitaliere;panne ou perte de materiel;A;Ophtalmologie;Ascenseur;Cadre de sante-cadre administratif;Majeure
18/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Autre lieu professionnel;Cadre de sante-cadre administratif;Majeure
16/1/2008;B - Organisation des soins - Relations avec le patient;autre B;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Majeure
18/1/2008;C - Vie hospitaliere;panne ou perte de materiel;R;Anesthesie-Reanimation;Tout le service;Infirmier-infirmier specialise-puericultrice;Moderee
18/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;R;Anesthesie-Reanimation;Ascenseur;Cadre de sante-cadre administratif;Majeure
18/1/2008;D - Vigilances;pharmacovigilance;I;Radiologie pediatrie;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Moderee
17/1/2008;B - Organisation des soins - Relations avec le patient;autre B;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Infirmier-infirmier specialise-puericultrice;Majeure
19/1/2008;D - Vigilances;materiovigilance;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Mineure
20/1/2008;C - Vie hospitaliere;restauration;I;Radiologie adulte;Office alimentaire;Aide-soignant-ASH;Moderee
18/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Restauration;Vestiaire;Ouvrier-agent technique;Mineure
21/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Nephrologie adulte;Chambre;Cadre de sante-cadre administratif;Catastrophique
21/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction strategie, qualite;Parking - cour - jardin;Cadre de sante-cadre administratif;Majeure
18/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Nephrologie adulte;Bureaux - locaux administratifs - archives;Dieteticien-kine-ergotherapeute-psychomotricien-autre reeducateur;Moderee
22/1/2008;C - Vie hospitaliere;panne ou perte de materiel;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Chambre;Cadre de sante-cadre administratif;Majeure
21/1/2008;C - Vie hospitaliere;incidents lies aux chantiers;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Toilettes/douche destines aux patients;Cadre de sante-cadre administratif;Majeure
20/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Securite incendie;Parking - cour - jardin;Ouvrier-agent technique;Majeure
22/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Q;Cardiologie pediatrique;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
22/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Biotherapie;Laboratoires - pharmacie;Technicien-manipulateur-preparateur;Mineure
20/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;Q;Maternite;Toilettes/douche destines aux patients;Infirmier-infirmier specialise-puericultrice;Moderee
22/1/2008;C - Vie hospitaliere;transport logistique;Z;Direction des soins;Autre lieu commun;Infirmier-infirmier specialise-puericultrice;Moderee
23/1/2008;C - Vie hospitaliere;salubrite-proprete des locaux;P;Unite d Immunologie et d Hematologie pediatriques;Circulation : couloir - escalier - galerie - passerelle...;Aide-soignant-ASH;Moderee
23/1/2008;D - Vigilances;materiovigilance;B;Laboratoire d hematologie;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Majeure
23/1/2008;C - Vie hospitaliere;autre C;B;Bacteriologie-Virologie;Tout le service;Technicien-manipulateur-preparateur;Moderee
23/1/2008;C - Vie hospitaliere;restauration;A;Biotherapie;Self du personnel;Dieteticien-kine-ergotherapeute-psychomotricien-autre reeducateur;Moderee
24/1/2008;B - Organisation des soins - Relations avec le patient;erreur d identification;M;Chirurgie viscerale;Chambre;Cadre de sante-cadre administratif;Moderee
24/1/2008;A - Activites medicales et de soins;autre A;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Tout le service;Cadre de sante-cadre administratif;Majeure
24/1/2008;A - Activites medicales et de soins;autre A;P;Unite d Immunologie et d Hematologie pediatriques;Sans objet ou lieu inconnu ( fugues - pertes ...);Cadre de sante-cadre administratif;Moderee
25/1/2008;A - Activites medicales et de soins;autre A;P;Unite d Immunologie et d Hematologie pediatriques;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Moderee
24/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;P;Pediatrie generale;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
25/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;A;Ophtalmologie;Ascenseur;Cadre de sante-cadre administratif;Majeure
24/1/2008;A - Activites medicales et de soins;complication liee aux soins;M;Chirurgie orthopedique pediatrique;Chambre;Cadre de sante-cadre administratif;Mineure
25/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;Q;Chirurgie cardiaque pediatrique;Chambre;Cadre de sante-cadre administratif;Mineure
28/1/2008;C - Vie hospitaliere;linge;Z;Restauration;Tout le service;Ouvrier-agent technique;Moderee
21/1/2008;C - Vie hospitaliere;incidents lies aux chantiers;Z;Direction des investissements;Circulation : couloir - escalier - galerie - passerelle...;Ouvrier-agent technique;Mineure
28/1/2008;C - Vie hospitaliere;panne ou perte de materiel;P;Unite d Immunologie et d Hematologie pediatriques;Autre lieu professionnel;Cadre de sante-cadre administratif;Moderee
28/1/2008;C - Vie hospitaliere;autre C;Z;Direction des ressources humaines;Autre lieu commun;Cadre de sante-cadre administratif;Mineure
28/1/2008;B - Organisation des soins - Relations avec le patient;autre B;B;Chambre mortuaire;Salle d attente-hall - caisse - accueil;Cadre de sante-cadre administratif;Moderee
28/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Nephrologie adulte;Chambre;Cadre de sante-cadre administratif;Mineure
29/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Chirurgie orthopedique pediatrique;Chambre;Infirmier-infirmier specialise-puericultrice;Majeure
29/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Ophtalmologie;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Majeure
29/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Mineure
28/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Brancardage;Ascenseur;Cadre de sante-cadre administratif;Moderee
29/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Brancardage;Ascenseur;Cadre de sante-cadre administratif;Moderee
29/1/2008;B - Organisation des soins - Relations avec le patient;risques professionnels;A;Infectiologie;Poste de soins;Cadre de sante-cadre administratif;Majeure
29/1/2008;C - Vie hospitaliere;linge;Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Mineure
29/1/2008;D - Vigilances;hemovigilance;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Moderee
30/1/2008;C - Vie hospitaliere;restauration;M;Chirurgie orthopedique pediatrique;Office alimentaire;Cadre de sante-cadre administratif;Mineure
30/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;P;Activite pediatrique ambulatoire;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Majeure
30/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction de la logistique et des achats;Salle a manger-salle TV - salle de jeux...;Aide-soignant-ASH;Majeure
30/1/2008;A - Activites medicales et de soins;complication liee aux soins;M;Chirurgie orthopedique pediatrique;Chambre;Cadre de sante-cadre administratif;Moderee
30/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Unite d Immunologie et d Hematologie pediatriques;Circulation : couloir - escalier - galerie - passerelle...;Infirmier-infirmier specialise-puericultrice;Moderee
25/1/2008;A - Activites medicales et de soins;complication liee aux soins;P;Pediatrie generale;Chambre;Cadre de sante-cadre administratif;Majeure
31/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Ascenseur;Cadre de sante-cadre administratif;Majeure
31/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Ascenseur;Cadre de sante-cadre administratif;Majeure
31/1/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;A;Ophtalmologie;Chambre;Cadre de sante-cadre administratif;Moderee
31/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Brancardage;Ascenseur;Cadre de sante-cadre administratif;Majeure
31/1/2008;C - Vie hospitaliere;autre C;Z;Direction strategie, qualite;Tout l hopital;Cadre de sante-cadre administratif;Majeure
31/1/2008;B - Organisation des soins - Relations avec le patient;transport de patient;R;Anesthesie-Reanimation;Chambre;Cadre de sante-cadre administratif;Moderee
30/1/2008;C - Vie hospitaliere;panne ou perte de materiel;Q;Cardiologie pediatrique;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
1/2/2008;C - Vie hospitaliere;panne ou perte de materiel;A;Transplantation  et Reanimation adultes;Ascenseur;Cadre de sante-cadre administratif;Majeure
30/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Hematologie clinique adultes;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
31/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;A;Hematologie clinique adultes;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
2/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Chambre;Cadre de sante-cadre administratif;Moderee
3/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Moderee
3/2/2008;D - Vigilances;materiovigilance;P;Unite d Immunologie et d Hematologie pediatriques;Poste de soins;Infirmier-infirmier specialise-puericultrice;Insignifiante
4/2/2008;C - Vie hospitaliere;autre C;A;Hematologie clinique adultes;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Mineure
4/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Mineure
1/2/2008;A - Activites medicales et de soins;dossier medical et de soins;P;Activite pediatrique ambulatoire;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Majeure
1/2/2008;A - Activites medicales et de soins;complication medicale ou chirurgicale inattendue;P;Activite pediatrique ambulatoire;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Majeure
4/2/2008;D - Vigilances;materiovigilance;P;Unite d Immunologie et d Hematologie pediatriques;Poste de soins;Cadre de sante-cadre administratif;Mineure
5/2/2008;C - Vie hospitaliere;autre C;Z;Direction strategie, qualite;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Moderee
4/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Q;Chirurgie cardiaque pediatrique;Salle d operation/salle de reveil;Cadre de sante-cadre administratif;Moderee
6/2/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Brancardage;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Majeure
6/2/2008;B - Organisation des soins - Relations avec le patient;autre B;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Chambre;Cadre de sante-cadre administratif;Moderee
6/2/2008;D - Vigilances;materiovigilance;M;Nephrologie pediatrique;Chambre;Cadre de sante-cadre administratif;Majeure
25/1/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Securite generale, accueil, standard;Parking - cour - jardin;Personnel administratif;Moderee
7/2/2008;C - Vie hospitaliere;incidents lies aux chantiers;Z;Direction strategie, qualite;Autre lieu professionnel;Cadre de sante-cadre administratif;Moderee
7/2/2008;A - Activites medicales et de soins;autre A;B;Chambre mortuaire;Autre lieu de soins;Cadre de sante-cadre administratif;Majeure
7/2/2008;A - Activites medicales et de soins;complication liee aux soins;B;Chambre mortuaire;Autre lieu de soins;Cadre de sante-cadre administratif;Majeure
8/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;Z;Securite incendie;Circulation : couloir - escalier - galerie - passerelle...;Personnel administratif;Majeure
8/2/2008;C - Vie hospitaliere;incidents lies aux chantiers;Q;Chirurgie cardiaque pediatrique;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Majeure
6/2/2008;A - Activites medicales et de soins;autre A;R;Reanimation Pediatrique;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Majeure
8/2/2008;C - Vie hospitaliere;transport logistique;R;Reanimation Pediatrique;Office alimentaire;Cadre de sante-cadre administratif;Moderee
7/2/2008;D - Vigilances;materiovigilance;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Infirmier-infirmier specialise-puericultrice;Moderee
7/2/2008;D - Vigilances;materiovigilance;R;Reanimation Pediatrique;Chambre;Medecin;Moderee
7/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Q;Chirurgie cardiaque pediatrique;Autre lieu professionnel;Cadre de sante-cadre administratif;Mineure
9/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Neuro-chirurgie;Chambre;Infirmier-infirmier specialise-puericultrice;Moderee
10/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Moderee
9/1/2008;C - Vie hospitaliere;salubrite-proprete des locaux;Z;Direction strategie, qualite;Laboratoires - pharmacie;Technicien-manipulateur-preparateur;Mineure
7/2/2008;C - Vie hospitaliere;transport logistique;Z;Direction strategie, qualite;Autre lieu professionnel;Technicien-manipulateur-preparateur;Mineure
7/2/2008;C - Vie hospitaliere;panne ou perte de materiel;M;Chirurgie orthopedique pediatrique;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Moderee
11/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;R;CUDR;Chambre;Infirmier-infirmier specialise-puericultrice;Majeure
12/2/2008;C - Vie hospitaliere;autre C;M;Chirurgie orthopedique pediatrique;Tout le service;Cadre de sante-cadre administratif;Moderee
12/2/2008;D - Vigilances;materiovigilance;B;Anatomie  et cytologie pathologiques;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Mineure
12/2/2008;D - Vigilances;materiovigilance;B;Histo-Embryologie-Cytogenetique;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Mineure
12/2/2008;A - Activites medicales et de soins;complication liee aux soins;M;Chirurgie viscerale;Chambre;Cadre de sante-cadre administratif;Majeure
12/2/2008;D - Vigilances;biovigilance;A;Biotherapie;Laboratoires - pharmacie;Technicien-manipulateur-preparateur;Majeure
12/2/2008;B - Organisation des soins - Relations avec le patient;risques professionnels;A;Biotherapie;Laboratoires - pharmacie;Technicien-manipulateur-preparateur;Catastrophique
13/2/2008;C - Vie hospitaliere;linge;R;Reanimation Pediatrique;Tout le service;Cadre de sante-cadre administratif;Moderee
12/2/2008;D - Vigilances;materiovigilance;R;Reanimation Pediatrique;Chambre;Medecin;Mineure
13/2/2008;C - Vie hospitaliere;salubrite-proprete des locaux;M;Chirurgie viscerale;Circulation : couloir - escalier - galerie - passerelle...;Medecin;Majeure
13/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Moderee
13/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Restauration;Autre lieu professionnel;Ouvrier-agent technique;Mineure
9/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;P;Neurologie- metabolisme-endocrinologie-diabetologie pediatrique;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Majeure
8/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Q;Chirurgie cardiaque pediatrique;Autre lieu commun;Cadre de sante-cadre administratif;Moderee
12/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Q;Chirurgie cardiaque pediatrique;Autre lieu commun;Cadre de sante-cadre administratif;Moderee
15/2/2008;A - Activites medicales et de soins;autre A;R;Anesthesie-Reanimation;Salle d operation/salle de reveil;Medecin;Majeure
5/2/2008;C - Vie hospitaliere;transport logistique;P;Pedopsychiatrie;Bureaux - locaux administratifs - archives;Infirmier-infirmier specialise-puericultrice;Majeure
15/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Direction des finances et de la recherche;Bureaux - locaux administratifs - archives;Cadre de sante-cadre administratif;Majeure
16/2/2008;B - Organisation des soins - Relations avec le patient;chute de patient ou de personnel;M;Neuro-chirurgie;Chambre;Infirmier-infirmier specialise-puericultrice;Mineure
18/2/2008;C - Vie hospitaliere;autre C;B;Biochimie B;Laboratoires - pharmacie;Cadre de sante-cadre administratif;Mineure
17/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;Z;Restauration;Magasin - lingerie;Ouvrier-agent technique;Majeure
17/2/2008;C - Vie hospitaliere;salubrite-proprete des locaux;A;Cardiologie adultes;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Mineure
16/2/2008;B - Organisation des soins - Relations avec le patient;autre B;M;Gastroenterologie  et nutrition pediatriques;Circulation : couloir - escalier - galerie - passerelle...;Cadre de sante-cadre administratif;Majeure
18/2/2008;B - Organisation des soins - Relations avec le patient;risques professionnels;A;Biotherapie;Laboratoires - pharmacie;Technicien-manipulateur-preparateur;Catastrophique
19/2/2008;C - Vie hospitaliere;transport logistique;A;Transplantation  et Reanimation adultes;Locaux poubelles/dechets;Cadre de sante-cadre administratif;Majeure
19/2/2008;D - Vigilances;materiovigilance;P;Unite d Immunologie et d Hematologie pediatriques;Chambre;Infirmier-infirmier specialise-puericultrice;Moderee
19/2/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Ascenseur;Cadre de sante-cadre administratif;Majeure
20/2/2008;C - Vie hospitaliere;panne ou perte de materiel;Z;Direction de la logistique et des achats;Ascenseur;Cadre de sante-cadre administratif;Catastrophique
20/2/2008;C - Vie hospitaliere;panne ou perte de materiel;B;Explorations fonctionnelles-physiologie;Ascenseur;Technicien-manipulateur-preparateur;Moderee
18/2/2008;C - Vie hospitaliere;panne ou perte de materiel;M;Chirurgie viscerale;Autre lieu professionnel;Cadre de sante-cadre administratif;Mineure
20/2/2008;C - Vie hospitaliere;salubrite-proprete des locaux;A;Infectiologie;Locaux poubelles/dechets;Infirmier-infirmier specialise-puericultrice;Majeure
20/2/2008;C - Vie hospitaliere;transport logistique;A;Infectiologie;Ascenseur;Infirmier-infirmier specialise-puericultrice;Catastrophique
20/2/2008;C - Vie hospitaliere;transport logistique;A;Infectiologie;Ascenseur;Infirmier-infirmier specialise-puericultrice;Catastrophique
18/2/2008;C - Vie hospitaliere;vol ou agression ou degradation ou securite incendie;R;Anesthesie-Reanimation;Consultations - radio - salle d examens;Cadre de sante-cadre administratif;Moderee
